qid,sitelinks,familiarity
Q10771941,3,2
Q10771972,4,4
Q10772027,2,2
Q10772258,1,1
Q1077495,13,1
Q1077639,11,2
Q10779495,3,4
Q10779689,3,0
Q10779747,2,2
Q10779749,3,1
Q10779750,2,2
Q10779752,4,1
Q10779899,2,1
Q10779914,3,3
Q10779934,3,4
Q1078400,13,3
Q1078432,14,3
Q1078437,11,3
Q1078443,14,4
Q10786613,3,2
Q10787454,2,3
Q10787456,3,1
Q10787988,1,1
Q10788121,1,1
Q1078864,17,3
Q10790002,1,1
Q107941,32,2
Q107960,28,0
Q10797211,1,2
Q10798864,2,1
Q10798880,3,2
Q10799557,4,3
Q10799770,2,2
Q10800295,2,5
Q10800604,4,2
Q10800620,4,2
Q10800642,1,1
Q10800687,2,1
Q10800942,1,3
Q10801125,3,1
Q10802018,2,4
Q10805014,1,3
Q10806100,4,1
Q10806270,1,1
Q10806283,1,1
Q10806306,1,1
Q10806308,2,1
Q10806313,1,1
Q10807146,1,4
Q10807155,3,4
Q108085294,1,0
Q10809929,4,1
Q10810341,1,0
Q10810537,3,4
Q10810911,1,1
Q10811078,2,1
Q10811086,2,1
Q10812079,2,2
Q10812086,1,0
Q10818,66,1
Q10824817,1,1
Q10824852,2,4
Q10824916,2,1
Q10824968,2,1
Q10824969,2,1
Q10824970,3,3
Q10825539,2,2
Q10825843,2,3
Q10826125,1,2
Q10826515,2,1
Q10826521,1,2
Q10826619,2,0
Q10826700,1,3
Q10828306,2,1
Q10828324,2,1
Q10828358,2,1
Q10828401,2,1
Q10828427,7,3
Q10828647,3,4
Q10828934,3,2
Q10828937,2,2
Q10829028,3,3
Q1082978,12,4
Q10831829,2,1
Q10832464,25,2
Q10833399,2,1
Q10833565,4,1
Q10833739,4,1
Q10834963,5,0
Q10835185,3,1
Q1083708,14,0
Q10838003,6,1
Q1083866,10,3
Q10840222,2,1
Q10841104,2,1
Q10841248,2,2
Q10841667,2,4
Q10841685,3,2
Q10841709,3,3
Q10841794,3,1
Q10842244,3,3
Q10842863,2,0
Q1084992,12,3
Q1085075,10,1
Q1085126,11,1
Q1085136,10,3
Q10851500,10,4
Q1085811,11,3
Q10860333,4,1
Q10865046,1,0
Q10868216,4,3
Q10869466,1,0
Q1087020,10,4
Q1087102,10,1
Q10871052,4,4
Q10872036,8,0
Q10874329,3,0
Q1087539,20,1
Q10875725,1,4
Q1087585,11,1
Q1087591,10,3
Q1087612,11,1
Q1087622,10,4
Q1087670,11,3
Q1087677,10,0
Q10879145,8,3
Q10879792,1,0
Q10880034,1,1
Q10881640,1,0
Q1088224,9,3
Q1088225,10,3
Q1088237,10,1
Q1088305,10,2
Q10883531,4,5
Q10883536,4,3
Q1088467,25,3
Q1088750,10,1
Q10887561,1,0
Q1088761,14,3
Q108881027,4,0
Q10888335,4,4
Q1089056,10,0
Q10892495,2,3
Q1089339,13,4
Q1089352,13,4
Q1089363,15,4
Q1089377,13,4
Q1089384,15,4
Q1089389,13,3
Q1089392,14,5
Q1089462,13,3
Q1089469,16,4
Q1089474,12,4
Q1089554,15,3
Q1089761,8,4
Q1090034,31,0
Q109010,64,4
Q10905036,5,4
Q10905917,5,5
Q1091018,15,1
Q1091086,45,0
Q10912099,1,0
Q10912112,1,0
Q10912136,1,1
Q1091287,15,3
Q10916867,1,1
Q1092030,25,4
Q10924774,5,4
Q10924796,6,5
Q10924797,3,5
Q10924803,2,3
Q109269903,4,1
Q10928063,1,0
Q1092834,18,3
Q109311616,38,0
Q109345557,2,2
Q109345565,2,3
Q1093913,24,5
Q1093941,21,5
Q1093944,20,4
Q1093950,31,3
Q10939558,4,5
Q10939559,6,5
Q1094046,32,3
Q10941024,1,1
Q1094251,16,0
Q1094308,27,0
Q1094338,38,4
Q1094375,9,5
Q1094407,16,3
Q1094417,12,3
Q109455879,2,3
Q1094938,23,0
Q1094954,7,2
Q10951691,2,5
Q1095828,9,5
Q1096333,11,3
Q109690323,4,4
Q1097,48,5
Q109711,30,4
Q109739,27,4
Q1097449,12,4
Q1097460,11,5
Q109849,34,4
Q109858,52,5
Q109859858,3,0
Q109873,26,5
Q109905582,1,4
Q109926,23,5
Q109968,27,5
Q110000,31,4
Q110007,28,5
Q11005,81,1
Q11005410,9,3
Q110061,22,5
Q11007,78,1
Q11007149,9,4
Q11007759,8,3
Q1101073,23,4
Q110108246,1,2
Q110109122,2,1
Q110110184,2,3
Q110110293,1,1
Q110289,40,5
Q110321744,3,5
Q11036209,1,0
Q110494745,2,2
Q110495068,2,2
Q11050122,1,2
Q1105770,8,2
Q1105780,7,3
Q11062,53,0
Q11063329,1,0
Q1106490,8,4
Q11065584,1,0
Q110656674,3,3
Q1106591,9,5
Q1106644,15,4
Q1107168,10,2
Q110727511,3,3
Q1107297,21,4
Q1107447,8,3
Q11074637,8,5
Q11074657,1,3
Q11074659,2,0
Q11074670,2,0
Q11074708,1,0
Q11076586,1,1
Q11080015,6,5
Q11080016,5,5
Q110811318,3,4
Q11081257,14,2
Q11081635,1,0
Q11084579,1,1
Q11086137,62,0
Q11088839,4,4
Q11088840,1,0
Q1109031,28,5
Q11092442,1,3
Q11092444,1,0
Q1109279,19,0
Q1110101,17,3
Q1110186,9,2
Q111097997,1,2
Q11109889,1,1
Q1111022,9,4
Q111110603,0,2
Q111121347,0,1
Q111121348,0,1
Q111121349,0,2
Q111121350,0,2
Q111121351,0,1
Q111121352,0,1
Q111121353,0,1
Q111121354,0,1
Q111121355,0,1
Q111121356,0,1
Q111121357,0,1
Q111121358,0,1
Q111121359,0,1
Q111121360,0,2
Q111121361,0,1
Q111121362,0,2
Q111121363,0,2
Q111121364,0,1
Q111121365,0,2
Q111121366,0,1
Q111121367,0,1
Q111121368,0,1
Q111121369,0,1
Q111121370,0,1
Q111121371,0,1
Q111121372,0,1
Q111121373,0,1
Q111121374,0,3
Q111121375,0,2
Q111121376,0,2
Q111121377,0,1
Q111121378,0,1
Q111121380,0,1
Q111121381,0,1
Q111121382,0,1
Q111121383,0,1
Q111121385,0,2
Q111121386,0,1
Q111121387,0,1
Q111121388,0,1
Q111121389,0,1
Q111121390,0,1
Q111121392,0,1
Q111121393,0,1
Q111121394,0,1
Q111121395,0,1
Q111121396,0,1
Q111121397,0,1
Q111121398,0,1
Q111121399,0,1
Q111121400,0,1
Q111121401,0,1
Q111121402,0,3
Q111121403,0,1
Q111121404,0,1
Q111121405,0,1
Q111121406,0,1
Q111121407,0,1
Q111121408,0,1
Q111121410,0,1
Q111121411,0,1
Q111121413,0,1
Q111121414,0,1
Q111121415,0,1
Q111121416,0,1
Q111121417,0,3
Q111121418,0,2
Q111121419,0,1
Q111121420,0,1
Q111121421,0,1
Q111121422,0,1
Q111121423,0,1
Q111121424,0,1
Q11112555,1,0
Q11112730,3,4
Q11113,53,0
Q11117108,3,5
Q11117393,13,4
Q111174595,3,2
Q111225504,1,4
Q1112557,8,1
Q1112724,17,0
Q11129499,1,1
Q11129500,2,2
Q1113224,14,2
Q111333173,29,0
Q1113361,15,3
Q11136608,1,0
Q1113755,6,2
Q11140301,1,1
Q111409106,0,2
Q111409108,0,2
Q111409112,0,4
Q111409114,0,1
Q111409115,0,1
Q111409116,0,1
Q111409118,0,1
Q111409119,0,1
Q111409120,0,1
Q111409121,0,1
Q111409122,0,1
Q111409123,0,1
Q111409124,0,1
Q111409125,0,1
Q111409126,0,1
Q111409127,0,1
Q111409128,0,1
Q111409129,0,1
Q111409130,0,1
Q111409131,0,1
Q111409132,0,1
Q111409134,0,1
Q111409135,0,1
Q111409136,0,1
Q111409137,0,2
Q111409138,0,2
Q111409139,0,1
Q111409141,0,1
Q111409142,0,1
Q111409143,0,1
Q111409144,0,1
Q111409145,0,1
Q111409146,0,1
Q111409147,0,1
Q111409148,0,1
Q111409149,0,1
Q111409150,0,2
Q111409151,0,1
Q111409152,0,2
Q111409153,0,1
Q111409154,0,1
Q111409156,0,1
Q111409157,0,1
Q111409158,0,1
Q111409159,0,1
Q111409160,0,1
Q111409161,0,1
Q111409162,0,1
Q111409163,0,1
Q111409164,0,2
Q111409165,0,2
Q111409166,0,2
Q111409167,0,1
Q111409168,0,2
Q111409169,0,1
Q111409170,0,2
Q111409171,0,1
Q111409172,0,1
Q111409173,0,1
Q111409174,0,1
Q111409175,0,1
Q111409176,0,2
Q111409177,0,1
Q111409178,0,1
Q111409179,0,1
Q111409180,0,1
Q111409181,0,1
Q111409182,0,1
Q111409183,0,1
Q111409184,0,1
Q111409185,0,1
Q111409187,0,1
Q111409188,0,1
Q111409189,0,2
Q111409190,0,1
Q111409191,0,3
Q111409192,0,1
Q111409193,0,1
Q111409194,0,1
Q111409195,0,4
Q111409197,0,1
Q111409198,0,1
Q111409199,0,1
Q111409200,0,1
Q111409201,0,1
Q111409202,0,1
Q111409203,0,1
Q111409204,0,3
Q111409205,0,2
Q111409206,0,1
Q111409207,0,2
Q111409208,0,1
Q111409209,0,3
Q111409210,0,1
Q111409211,0,1
Q111409212,0,3
Q111409213,0,3
Q111409214,0,4
Q111409215,0,1
Q111409216,0,1
Q111409217,0,1
Q111409218,0,1
Q111409219,0,1
Q111409220,0,4
Q111409221,0,1
Q111409222,0,3
Q111409223,0,1
Q111409224,0,4
Q111409225,0,1
Q111409226,0,1
Q111409227,0,3
Q111409228,0,3
Q111409230,0,4
Q111409231,0,1
Q111420818,7,1
Q1114612,14,5
Q11148,111,0
Q11148106,1,0
Q1114839,13,2
Q111515051,3,4
Q111524362,9,1
Q1115331,10,3
Q11153720,10,3
Q111556,7,4
Q111721634,2,1
Q1117735,11,4
Q11181745,1,0
Q111872567,1,1
Q111939711,5,2
Q111951505,2,3
Q111973,30,5
Q1119929,15,0
Q112012291,1,1
Q1121111,27,3
Q112134535,12,2
Q11221237,6,3
Q1122261,41,2
Q1122701,30,5
Q1122776,9,4
Q1122926,43,4
Q1123019,38,4
Q1123106,34,4
Q1123493,37,5
Q11235,106,0
Q112357,11,3
Q1123997,34,5
Q11240,36,0
Q1124023,39,4
Q11245,73,5
Q1124657,37,5
Q1124861,40,1
Q11249,46,5
Q11249110,10,2
Q112503,12,3
Q1125096,28,4
Q11252,29,3
Q11253,43,5
Q1125814,10,3
Q11259,72,5
Q11260,64,5
Q1126084,9,2
Q112640,37,5
Q1127212,31,3
Q1127218,33,1
Q1127380,13,3
Q11274,75,5
Q11277,48,5
Q11287466,7,4
Q112876241,23,0
Q11288582,6,5
Q11290,51,5
Q11290799,10,3
Q1129089,30,0
Q1129603,30,0
Q11297,50,5
Q1129820,19,2
Q11299,139,5
Q1129925,36,3
Q1130050,26,5
Q113006582,20,1
Q1130266,35,2
Q1130517,18,1
Q1130666,31,3
Q1130678,16,1
Q1130722,28,5
Q1130746,29,1
Q11307659,5,5
Q11307901,5,4
Q11308729,5,3
Q1130908,11,2
Q1131442,13,0
Q1131544,7,2
Q1131589,28,4
Q1131807,34,5
Q1131825,16,3
Q1132092,7,3
Q113213879,6,3
Q1132589,10,3
Q1132601,10,3
Q1132605,16,4
Q1132610,11,4
Q1133075,35,5
Q11336481,9,3
Q1133697,27,0
Q1133712,32,5
Q1134395,13,2
Q1134523,11,2
Q1134529,13,0
Q1134533,13,5
Q113457479,2,5
Q113482808,4,2
Q1135057,8,3
Q11352050,5,4
Q113557781,38,1
Q1135834,30,5
Q1135947,11,3
Q1136014,11,0
Q1136137,34,5
Q113627642,3,4
Q1136687,29,4
Q113689264,3,4
Q1137504,7,5
Q1137522,19,1
Q1137533,42,5
Q1137768,10,2
Q1137973,14,0
Q1137997,34,5
Q1138147,18,3
Q1138457,12,3
Q113857620,45,0
Q1138648,23,2
Q1138851,12,4
Q1138922,33,2
Q1138924,14,2
Q1139081,34,5
Q1139633,19,3
Q1139748,12,5
Q1139853,10,3
Q1139921,12,5
Q113993296,2,0
Q1140138,18,1
Q1140249,30,4
Q1140265,24,4
Q1140339,11,5
Q1140507,31,5
Q1140533,25,0
Q1140534,29,5
Q1140556,13,0
Q1140634,25,5
Q1140815,11,3
Q1141215,26,0
Q1141262,26,4
Q1141322,11,2
Q1141341,11,0
Q1141476,12,0
Q1141592,14,0
Q1141952,23,3
Q1142142,33,4
Q1142174,9,5
Q1142211,13,5
Q1142255,24,3
Q1142398,7,2
Q1142457,15,0
Q1142621,5,1
Q1142661,29,4
Q1142990,5,1
Q1143080,10,3
Q11431452,18,3
Q1143174,8,3
Q1143226,13,3
Q1143235,18,3
Q1143630,8,4
Q1144187,23,2
Q1144549,49,2
Q1144561,19,1
Q1144592,22,4
Q1144606,40,1
Q1144643,17,3
Q1144673,35,2
Q1144740,17,5
Q1144908,4,0
Q1146587,19,1
Q1146739,46,0
Q1146881,30,5
Q1146936,19,3
Q1147009,13,3
Q1147620,8,3
Q1147977,23,2
Q1148324,10,2
Q1150259,17,5
Q1150357,19,4
Q1150419,25,4
Q1151254,23,5
Q1151529,19,4
Q1151775,15,0
Q11519,6,4
Q1151919,20,1
Q115226,23,0
Q1153094,31,3
Q1153198,15,3
Q1153515,27,3
Q1153788,10,4
Q1154330,34,0
Q1155329,5,1
Q1155331,27,3
Q1155571,12,4
Q1155836,33,3
Q1155944,32,2
Q1156274,17,5
Q1156428,11,3
Q1156435,5,4
Q1156446,13,3
Q1156586,22,3
Q1156778,19,3
Q1156823,19,3
Q115805450,8,2
Q115860,23,3
Q115864833,15,1
Q115896489,3,3
Q1159198,9,4
Q115921506,18,0
Q115978654,2,2
Q1160664,43,2
Q1160682,33,1
Q1160691,26,3
Q1160895,41,0
Q116125,14,4
Q1161519,36,1
Q1161724,12,2
Q116259,14,4
Q1162605,11,2
Q116270154,3,2
Q116297155,2,2
Q1163431,40,2
Q11634381,11,3
Q116392538,3,2
Q116414125,24,0
Q11643,21,1
Q1164325,10,1
Q1164334,43,1
Q1164337,9,0
Q11650493,3,5
Q11650496,4,4
Q1165384,21,2
Q1165557,8,2
Q1165861,10,1
Q1165987,17,1
Q11667807,13,1
Q11668547,6,5
Q1167467,19,5
Q1168003,11,2
Q11680443,6,3
Q116821,22,1
Q116826,23,0
Q116831,21,1
Q11690,87,5
Q11694,47,0
Q117008017,2,4
Q11705,39,0
Q117075309,8,1
Q1170818,22,0
Q117085235,3,3
Q117178653,20,1
Q117273372,2,0
Q117286788,2,1
Q117290024,1,2
Q117358668,4,4
Q117463745,2,1
Q117467,26,1
Q117708,27,4
Q1177277,9,5
Q1177284,9,2
Q11783098,6,0
Q11787097,5,3
Q118003,11,5
Q1180056,13,4
Q1180205,30,2
Q1180344,27,0
Q118119342,4,3
Q11819,57,5
Q118193,3,3
Q118383940,4,2
Q11838982,6,3
Q11838983,7,5
Q11838984,4,2
Q11839029,4,2
Q11839033,5,4
Q11840119,2,3
Q11840154,3,3
Q1184183,17,3
Q1185317,11,4
Q1185887,13,5
Q1185910,18,3
Q1186002,14,3
Q1186043,17,5
Q1186184,16,4
Q1186197,14,3
Q1186262,14,3
Q1186268,15,5
Q1186292,17,5
Q1186714,20,4
Q1186843,30,4
Q1187226,9,0
Q1187271,27,4
Q1187394,11,4
Q1187508,25,4
Q1187568,9,5
Q11876951,17,0
Q11880816,9,4
Q1189121,17,0
Q1189293,18,4
Q1189342,11,5
Q1189954,58,2
Q1190137,29,0
Q1190181,9,2
Q1190182,8,1
Q1190597,27,4
Q1190657,23,3
Q1191042,17,4
Q1191048,21,5
Q1191191,15,2
Q1191380,25,0
Q11914956,9,3
Q1191599,12,2
Q1191972,26,4
Q1192117,13,2
Q1192508,14,4
Q1193420,14,4
Q1193480,27,2
Q1193675,19,3
Q1194329,15,0
Q1195474,14,3
Q11957158,11,3
Q1195837,3,3
Q119597132,5,1
Q1196073,17,5
Q1196090,16,4
Q1196095,12,4
Q11963844,13,4
Q11967561,11,4
Q119695,15,1
Q1196955,19,4
Q11970037,11,4
Q11971512,11,4
Q1197269,21,4
Q11982834,8,3
Q11988456,11,4
Q119892,39,4
Q11992758,11,4
Q11992956,11,4
Q11993457,45,2
Q11996138,11,3
Q11998805,11,5
Q1199959,24,5
Q12001069,11,2
Q12004572,11,4
Q12007414,11,4
Q1200925,30,2
Q1200948,21,4
Q1201043,13,2
Q1201057,19,2
Q1201337,16,4
Q120147155,2,3
Q1201889,17,3
Q1202019,29,5
Q1202416,19,1
Q1202921,14,1
Q1203521,19,5
Q1203936,4,3
Q12040651,5,2
Q1204253,26,5
Q1205090,18,5
Q1206012,51,0
Q12060731,7,3
Q12060754,3,4
Q12060993,7,3
Q12061085,5,4
Q12061379,6,5
Q12061428,5,1
Q12062083,6,2
Q12066847,6,4
Q1207323,12,3
Q1207691,26,5
Q1207735,25,0
Q1207908,12,5
Q1208256,16,4
Q1208346,16,4
Q1208360,17,5
Q1208377,13,4
Q1208392,20,4
Q120849591,4,2
Q1208561,8,3
Q1208763,15,2
Q1209183,15,4
Q1210083,24,4
Q1210635,31,3
Q12142734,13,2
Q121704,14,4
Q121765,28,4
Q121768115,2,2
Q12184118,4,0
Q121913890,3,2
Q12195501,8,4
Q12195551,8,4
Q1221287,10,3
Q122142871,3,3
Q1221513,12,5
Q122203810,5,2
Q12220576,8,1
Q12220580,4,2
Q122223534,4,3
Q122237919,3,2
Q122452764,13,0
Q1224878,6,3
Q1224979,12,0
Q12255787,4,5
Q1227044,34,4
Q122753363,3,2
Q122754016,3,4
Q122802584,3,0
Q1228184,12,3
Q1228299,11,2
Q123013381,3,3
Q1230166,37,0
Q1230168,14,0
Q123024,37,4
Q1230253,21,3
Q123159163,3,2
Q123159337,3,1
Q1231816,22,5
Q12318161,15,2
Q1232277,12,3
Q1232282,12,2
Q123232177,3,3
Q123251934,3,2
Q1233617,15,1
Q123367092,7,2
Q1233755,21,1
Q123385026,9,4
Q12338932,10,0
Q12340880,11,3
Q1234343,15,2
Q123497172,33,1
Q1235412,15,3
Q1235440,24,5
Q1235930,12,3
Q123624,39,4
Q123627,30,2
Q123634,35,4
Q123738,63,5
Q1238512,17,3
Q1238771,11,2
Q123885,89,1
Q123906146,4,3
Q1239847,12,4
Q124010,50,5
Q124041,31,3
Q12404180,5,1
Q12404273,5,0
Q12404543,5,2
Q124054045,7,2
Q12408902,7,3
Q124091628,3,3
Q12410997,6,3
Q12414125,8,2
Q124184,56,4
Q124230,42,4
Q12424991,4,4
Q124256646,4,3
Q12426223,9,4
Q124282503,3,3
Q124295,31,3
Q12432167,5,2
Q12435951,8,2
Q124377,49,5
Q12445809,6,4
Q12446954,6,0
Q12451209,4,4
Q124539,39,3
Q12454277,5,4
Q12455046,11,4
Q12459599,8,4
Q1246552,15,4
Q1246991,25,4
Q1247135,23,2
Q1247544,35,2
Q124882,12,2
Q1248976,13,0
Q1249027,16,3
Q124947,20,4
Q124961542,1,0
Q124982776,5,1
Q125006,84,5
Q125050,44,5
Q125068,35,5
Q125157,31,4
Q125163,35,4
Q125202762,2,4
Q12525001,6,4
Q1252781,14,2
Q1252907,11,2
Q125450,19,3
Q1255602,10,5
Q1255733,11,2
Q1255890,13,4
Q1255904,14,4
Q1255998,10,2
Q1256328,14,2
Q1256546,10,4
Q1257314,1,0
Q125753,31,4
Q125805,29,2
Q1258924,14,4
Q125933843,59,2
Q1259453,24,4
Q1260646,12,3
Q126079639,3,2
Q1261362,33,4
Q126150613,5,3
Q1262183,14,3
Q1262201,13,3
Q1263335,27,4
Q1263637,6,3
Q1263745,13,4
Q126392128,10,0
Q126412,23,4
Q126453,17,2
Q1265322,14,3
Q1265848,14,4
Q1267814,9,3
Q1267958,25,5
Q126884593,5,1
Q12696331,6,2
Q1270330,10,0
Q1274511,30,4
Q1277357,21,4
Q1277747,20,5
Q1277756,11,4
Q1277917,7,2
Q1278116,25,3
Q127841378,9,0
Q1278419,15,5
Q1278671,14,4
Q1279102,29,4
Q1280223,15,3
Q1280906,21,1
Q1280920,14,4
Q1281756,15,3
Q1282139,41,1
Q128322,10,3
Q1283754,10,4
Q1284236,20,4
Q1284748,15,1
Q1284778,19,5
Q1285555,16,1
Q1286354,15,3
Q1287077,13,4
Q128838,20,0
Q12885865,12,1
Q1288729,26,1
Q128910,88,0
Q128988445,1,1
Q128996486,6,0
Q12904658,12,4
Q129143,73,5
Q129506,9,3
Q129612,28,0
Q1296555,10,3
Q12972993,4,5
Q1298262,10,3
Q12983052,12,4
Q1298529,6,2
Q130150,27,5
Q130206,78,5
Q130259699,2,3
Q130300343,3,3
Q1303297,15,2
Q130391732,9,0
Q13045,22,3
Q130461613,2,3
Q130461620,3,4
Q130461621,2,5
Q130461622,4,4
Q130461626,2,5
Q130461629,2,2
Q130461631,2,2
Q130461632,2,5
Q130478,32,4
Q1305091,15,4
Q130611338,1,2
Q1306537,9,1
Q130711,21,4
Q1307298,7,3
Q130736773,19,2
Q130838,25,0
Q130871,84,0
Q130898,13,2
Q130981,24,4
Q131013,97,5
Q131045530,21,0
Q1311686,13,4
Q1311705,5,3
Q1311748,10,3
Q13118215,7,0
Q1312559,17,1
Q1313036,31,2
Q131314319,2,3
Q131330,64,5
Q131354,65,5
Q131389544,25,0
Q1315374,12,4
Q131575588,92,4
Q1316229,8,3
Q131625452,5,0
Q131632377,1,0
Q13164492,7,2
Q1317156,13,3
Q1318670,27,5
Q131876495,9,1
Q13188841,12,1
Q13194692,4,3
Q131964,104,0
Q131995,18,2
Q1320141,7,4
Q1320247,15,1
Q1320404,13,4
Q13205,72,4
Q1320533,14,5
Q1320874,29,0
Q1320916,9,3
Q1321231,26,5
Q1321240,15,4
Q1321526,16,3
Q1321655,17,3
Q1322293,19,1
Q1322403,28,3
Q1322605,16,2
Q1322641,36,0
Q1323040,22,2
Q1324163,28,5
