site,ref_en,tier,ref_km,n,echoed,hit,error_gm,echo_pct,hit_pct
barcelona_sants,Plaça d'Espanya station,high,0.876,4,1,0,3.57,25.0,0.0
barcelona_sants,Rocafort station,mid,1.205,4,1,0,3.04,25.0,0.0
barcelona_sants,Mini Estadi,low,1.833,4,2,2,1.28,50.0,50.0
barcelona_sants,Torrassa station,mid,2.298,4,2,0,3.47,50.0,0.0
barcelona_sants,Plaça de Catalunya,high,2.668,4,0,1,1.92,0.0,25.0
barcelona_sants,Park Güell,high,4.005,4,1,0,4.11,25.0,0.0
barcelona_sants,Esplugues de Llobregat,low,4.526,4,1,0,4.17,25.0,0.0
barcelona_sants,Bac de Roda station,mid,5.926,4,2,0,19.32,50.0,0.0
berlin_alte,Berlin State Opera,high,0.522,5,1,5,0.18,20.0,100.0
berlin_alte,Nikolaiviertel,mid,0.757,5,2,4,0.18,40.0,80.0
berlin_alte,Berlin-Brandenburg Academy of Sciences and Humanities,low,0.818,5,1,5,0.2,20.0,100.0
berlin_alte,Berlin Observatory,low,1.903,5,1,4,0.23,20.0,80.0
berlin_alte,Tiergarten (park),high,2.193,5,1,4,0.21,20.0,80.0
berlin_alte,Haus der Kulturen der Welt,mid,2.281,5,1,3,0.4,20.0,60.0
berlin_alte,Ibn Rushd-Goethe Mosque,low,3.342,5,0,3,2.23,0.0,60.0
berlin_alte,Berlin Wall,high,3.418,5,1,4,0.21,20.0,80.0
berlin_alte,Straße des 17. Juni,mid,3.442,5,0,3,0.74,0.0,60.0
berlin_jewish,German Museum of Technology,mid,1.283,4,2,0,1.41,50.0,0.0
berlin_jewish,Berlin-Brandenburg Academy of Sciences and Humanities,low,1.291,4,3,0,1.53,75.0,0.0
berlin_jewish,Potsdamer Platz,high,1.489,4,1,0,2.15,25.0,0.0
berlin_jewish,Bahntower,low,1.611,4,2,0,27.78,50.0,0.0
berlin_jewish,Berlin Cathedral,high,1.913,4,1,0,2.24,25.0,0.0
berlin_jewish,Memorial to the Sinti and Roma Victims of National Socialism,mid,2.112,4,2,0,1.9,50.0,0.0
berlin_jewish,Prenzlauer Berg,high,3.873,4,4,0,4.24,100.0,0.0
berlin_jewish,Ibn Rushd-Goethe Mosque,low,4.007,4,3,0,45.89,75.0,0.0
berlin_jewish,Robert Koch Institute,mid,5.242,4,3,0,4.36,75.0,0.0
berlin_st,Pariser Platz,high,1.073,4,0,1,1.25,0.0,25.0
berlin_st,Memorial to Homosexuals Persecuted Under Nazism,mid,1.293,4,2,1,1.17,50.0,25.0
berlin_st,Berlin Observatory,low,1.329,4,3,1,1.13,75.0,25.0
berlin_st,Berlin Wall Memorial,high,2.158,4,1,0,3.29,25.0,0.0
berlin_st,Karl-Marx-Allee,mid,2.75,4,2,0,2.68,50.0,0.0
berlin_st,Ibn Rushd-Goethe Mosque,low,3.229,4,2,0,38.49,50.0,0.0
berlin_st,Max-Schmeling-Halle,mid,3.287,4,2,1,1.67,50.0,25.0
berlin_st,Tempelhof,high,5.518,4,0,1,1.23,0.0,25.0
bogota_general,Colombian Institute of Anthropology and History,low,0.732,5,0,0,1.84,0.0,0.0
bogota_general,National Institute of Legal Medicine and Forensic Sciences,mid,0.824,5,0,0,45.04,0.0,0.0
bogota_general,Banco de Bogotá building,high,1.011,5,0,0,23.19,0.0,0.0
bogota_general,National Museum of Colombia,high,2.58,5,0,0,1.84,0.0,0.0
bogota_general,Administrative Department of Security,low,2.61,5,0,0,47.06,0.0,0.0
bogota_general,"Memory, Peace and Reconciliation Centre",mid,2.775,5,0,0,16.19,0.0,0.0
bogota_general,Dejusticia,low,3.476,5,0,0,6.66,0.0,0.0
bogota_general,Alfonso López Pumarejo Stadium,mid,5.269,5,0,0,221.1,0.0,0.0
bogota_general,Santa Lucía (TransMilenio),high,5.884,5,4,0,1.84,80.0,0.0
bogota_national,Academia Colombiana de la Lengua,low,0.887,4,2,3,0.96,50.0,75.0
bogota_national,Universidad del Rosario,high,1.166,4,2,0,1.3,50.0,0.0
bogota_national,Ministry of Information Technologies and Communications,mid,1.262,4,3,0,1.35,75.0,0.0
bogota_national,Ministry of Environment and Sustainable Development (Colombia),low,1.768,4,2,0,2.19,50.0,0.0
bogota_national,Church of Our Lady of Carmen,mid,1.808,4,1,0,7.17,25.0,0.0
bogota_national,Casa de Nariño,high,1.84,4,3,0,2.06,75.0,0.0
bogota_national,National Pedagogic University,mid,5.511,4,2,0,3.87,50.0,0.0
bogota_national,National Printing Office of Colombia,low,5.891,4,2,0,4.38,50.0,0.0
bogota_planetarium,Academia Colombiana de la Lengua,low,1.184,4,0,1,1.3,0.0,25.0
bogota_planetarium,Iglesia La Tercera,mid,1.204,4,0,1,1.3,0.0,25.0
bogota_planetarium,Universidad del Rosario,high,1.427,4,0,0,1.45,0.0,0.0
bogota_planetarium,Dejusticia,low,1.64,4,0,0,1.45,0.0,0.0
bogota_planetarium,National Capitol of Colombia,high,1.836,4,0,0,1.45,0.0,0.0
bogota_planetarium,Las Cruces,mid,2.905,4,0,0,1.45,0.0,0.0
bogota_planetarium,Corferias,high,3.059,4,0,0,3.0,0.0,0.0
bogota_planetarium,Arzobispo River,mid,4.732,4,0,0,2.15,0.0,0.0
bogota_planetarium,National Printing Office of Colombia,low,5.659,4,0,0,1.45,0.0,0.0
boston_chinatown,Freedom Trail,high,0.968,5,0,4,0.52,0.0,80.0
boston_chinatown,Akamai Technologies,mid,2.543,5,0,4,0.58,0.0,80.0
boston_chinatown,Ruggles station,high,2.805,5,1,2,1.01,20.0,40.0
boston_chinatown,Museum of Bad Art,low,3.387,5,0,3,0.58,0.0,60.0
boston_chinatown,Jackson Square station,mid,4.468,5,0,3,2.49,0.0,60.0
boston_chinatown,"Somerville, Massachusetts",high,4.967,5,0,3,0.79,0.0,60.0
boston_longfellow,Leonard P. Zakim Bunker Hill Memorial Bridge,high,1.267,4,0,1,1.55,0.0,25.0
boston_longfellow,Boston National Historical Park,mid,1.562,4,0,1,1.55,0.0,25.0
boston_longfellow,Charles River,high,2.039,4,0,1,1.37,0.0,25.0
boston_longfellow,Cambridge College,low,3.035,4,3,1,3.0,75.0,25.0
boston_longfellow,Harvard station,high,3.833,4,2,2,3.83,50.0,50.0
boston_longfellow,Basilica and Shrine of Our Lady of Perpetual Help,mid,3.846,4,2,1,3.94,50.0,25.0
boston_park,"Bay Village, Boston",mid,0.928,8,3,6,0.45,37.5,75.0
boston_park,TD Garden,high,1.112,8,0,6,0.43,0.0,75.0
boston_park,Hult International Business School,mid,1.645,8,1,5,0.56,12.5,62.5
boston_park,Stata Center,high,2.376,8,0,4,5.6,0.0,50.0
boston_park,Greek Orthodox Metropolis of Boston,low,3.366,8,0,6,0.56,0.0,75.0
boston_park,Logan International Airport,high,4.67,8,1,4,0.58,12.5,50.0
boston_park,Peabody Museum of Archaeology and Ethnology,mid,4.934,8,1,4,5.53,12.5,50.0
budapest_batthyny,Széll Kálmán tér metro station,high,1.046,5,4,1,1.41,80.0,20.0
budapest_batthyny,Comedy Theatre of Budapest,mid,1.187,5,0,0,3.97,0.0,0.0
budapest_batthyny,Budapest Ghetto,mid,2.105,5,0,0,2.1,0.0,0.0
budapest_batthyny,Szent Gellért tér – Műegyetem metro station,high,2.805,5,2,0,3.65,40.0,0.0
budapest_batthyny,Holocaust Memorial Center (Budapest),mid,3.637,5,0,1,3.61,0.0,20.0
budapest_batthyny,Gyöngyösi utca metro station,high,5.441,5,1,0,4.94,20.0,0.0
budapest_museum,Blaha Lujza tér metro station,high,1.247,4,1,2,0.77,25.0,50.0
budapest_museum,Kazinczy Street Synagogue,mid,1.424,4,2,1,1.06,50.0,25.0
budapest_museum,Oktogon (intersection),high,2.168,4,1,1,1.34,25.0,25.0
budapest_museum,Hungarian Mint,low,2.383,4,0,1,1.23,0.0,25.0
budapest_museum,National Széchényi Library,mid,2.401,4,0,0,1.98,0.0,0.0
budapest_museum,Constitutional Court of Hungary,low,3.089,4,0,1,1.47,0.0,25.0
budapest_museum,Budapest Déli station,high,3.577,4,0,0,4.09,0.0,0.0
budapest_museum,Forgách utca metro station,mid,5.807,4,0,1,1.7,0.0,25.0
budapest_university,Móricz Zsigmond körtér metro station,mid,0.708,4,1,0,2.8,25.0,0.0
budapest_university,Evangelical-Lutheran Church in Hungary,high,1.462,4,0,0,2.16,0.0,0.0
budapest_university,Matthias Fountain,mid,2.216,4,0,0,2.53,0.0,0.0
budapest_university,Castle Quarter (Budapest),high,2.972,4,1,0,2.24,25.0,0.0
budapest_university,Constitutional Court of Hungary,low,3.033,4,0,0,2.56,0.0,0.0
budapest_university,Andrássy út,high,3.601,4,0,0,2.64,0.0,0.0
budapest_university,Bajza utca metro station,mid,3.682,4,1,0,2.25,25.0,0.0
cdmx_condesa,Mexican Football Federation,low,0.764,15,6,5,4.25,40.0,33.3
cdmx_condesa,Patriotismo metro station,mid,0.986,15,6,4,8.61,40.0,26.7
cdmx_condesa,Fuente de Cibeles (Mexico City),mid,1.111,15,2,0,3.13,13.3,0.0
cdmx_condesa,Colonia Roma,high,1.146,15,13,1,1.92,86.7,6.7
cdmx_condesa,Monumento a los Niños Héroes,high,1.456,15,1,5,2.4,6.7,33.3
cdmx_condesa,Torre Mayor,high,1.54,15,2,0,4.25,13.3,0.0
cdmx_condesa,Mexican Mint,low,2.04,15,5,1,14.09,33.3,6.7
cdmx_condesa,Constituyentes metro station,mid,2.127,15,2,0,4.85,13.3,0.0
cdmx_condesa,La Feria de Chapultepec,mid,2.649,15,0,6,0.87,0.0,40.0
cdmx_condesa,Secretariat of Energy,low,2.734,15,5,0,15.53,33.3,0.0
cdmx_condesa,Auditorio Nacional,high,2.936,15,3,1,2.74,20.0,6.7
cdmx_condesa,Eugenia metro station,mid,3.122,15,3,1,60.97,20.0,6.7
cdmx_condesa,Xola metro station,mid,3.909,15,6,0,21.52,40.0,0.0
cdmx_condesa,Porta Coeli Cathedral,low,4.082,15,3,0,469.09,20.0,0.0
cdmx_condesa,Museo Nacional de la Estampa,low,4.133,15,4,0,10.86,26.7,0.0
cdmx_condesa,Pino Suárez metro station,high,4.298,15,3,1,4.9,20.0,6.7
cdmx_condesa,Zócalo,high,4.633,15,0,0,6.28,0.0,0.0
cdmx_roma,"Zona Rosa, Mexico City",high,0.786,15,9,10,1.55,60.0,66.7
cdmx_roma,Mexican Football Federation,low,0.838,15,3,4,4.12,20.0,26.7
cdmx_roma,Sevilla metro station (Mexico City),mid,0.956,15,2,5,2.97,13.3,33.3
cdmx_roma,Condesa,high,1.06,15,11,0,2.06,73.3,0.0
cdmx_roma,Mexican Mint,low,1.132,15,4,2,4.0,26.7,13.3
cdmx_roma,Torre BBVA México,mid,1.394,15,6,3,2.27,40.0,20.0
cdmx_roma,Chapultepec metro station,high,1.511,15,3,4,2.33,20.0,26.7
cdmx_roma,Revolución metro station,high,2.385,15,4,4,2.86,26.7,26.7
cdmx_roma,Secretariat of Foreign Affairs,mid,2.492,15,4,5,5.92,26.7,33.3
cdmx_roma,Porta Coeli Cathedral,low,2.794,15,3,2,43.74,20.0,13.3
cdmx_roma,World Trade Center Mexico City,mid,2.978,15,0,5,2.36,0.0,33.3
cdmx_roma,Instituto Panamericano de Alta Dirección de Empresa,low,2.987,15,7,0,30.12,46.7,0.0
cdmx_roma,Museo Nacional de Arte,mid,3.055,15,3,1,16.36,20.0,6.7
cdmx_roma,Luis Barragán House and Studio,mid,3.317,15,5,0,3.14,33.3,0.0
cdmx_roma,House of the First Print Shop in the Americas,low,3.634,15,7,0,16.81,46.7,0.0
cdmx_roma,Chapultepec,high,3.81,15,3,3,2.79,20.0,20.0
cdmx_roma,National Meteorological Service (Mexico),low,4.005,15,3,6,1.36,20.0,40.0
cdmx_roma,Plaza Carso,high,4.961,15,3,1,4.71,20.0,6.7
copenhagen_castle,The David Collection,mid,0.798,5,2,4,0.52,40.0,80.0
copenhagen_castle,Freetown Christiania,high,1.3,5,0,5,0.27,0.0,100.0
copenhagen_castle,Statens Serum Institut,low,1.426,5,1,4,0.36,20.0,80.0
copenhagen_castle,National Film School of Denmark,mid,1.662,5,0,3,0.33,0.0,60.0
copenhagen_castle,The Little Mermaid,high,2.117,5,2,4,0.36,40.0,80.0
copenhagen_castle,Nordhavn railway station,high,3.193,5,3,4,0.36,60.0,80.0
copenhagen_castle,Copenhagen Denmark Temple,low,3.364,5,1,5,0.27,20.0,100.0
copenhagen_castle,Teglværksbroen,mid,3.794,5,0,4,0.46,0.0,80.0
copenhagen_det,Vesterport railway station,mid,0.535,4,1,3,1.66,25.0,75.0
copenhagen_det,Vesterbro,high,0.69,4,4,4,0.69,100.0,100.0
copenhagen_det,Royal Danish Academy of Sciences and Letters,low,1.171,4,2,1,1.48,50.0,25.0
copenhagen_det,Copenhagen Denmark Temple,low,2.539,4,0,4,0.69,0.0,100.0
copenhagen_det,Amalienborg,high,2.666,4,1,1,2.02,25.0,25.0
copenhagen_det,Grand Mosque of Copenhagen,mid,3.913,4,1,3,1.08,25.0,75.0
copenhagen_det,Amager Bakke,high,4.284,4,1,2,3.66,25.0,50.0
copenhagen_det,Danish Meteorological Institute,low,4.695,4,1,2,2.35,25.0,50.0
copenhagen_museum,Hotel d'Angleterre,high,1.025,4,2,1,1.01,50.0,25.0
copenhagen_museum,Royal Danish Naval Museum,mid,1.373,4,3,0,1.38,75.0,0.0
copenhagen_museum,Ungdomshuset,mid,2.658,4,2,0,2.16,50.0,0.0
copenhagen_museum,Trianglen station,high,2.771,4,1,0,2.81,25.0,0.0
copenhagen_museum,Copenhagen Denmark Temple,low,3.173,4,2,2,0.93,50.0,50.0
copenhagen_museum,Superkilen,high,3.492,4,1,0,2.24,25.0,0.0
copenhagen_museum,Øresund station,mid,3.784,4,2,0,2.85,50.0,0.0
delhi_holy,Delhi Gate metro station,high,0.732,5,4,4,0.92,80.0,80.0
delhi_holy,Naya Mandir,mid,1.133,5,3,0,5.0,60.0,0.0
delhi_holy,Qadam Sharif (Delhi),mid,2.251,5,5,0,2.87,100.0,0.0
delhi_holy,Supreme Court of India,high,2.32,5,2,0,2.49,40.0,0.0
delhi_holy,"National Philatelic Museum, New Delhi",low,2.971,5,2,2,1.51,40.0,40.0
delhi_holy,Indraprastha,low,3.319,5,2,2,2.11,40.0,40.0
delhi_holy,Dr. Ambedkar National Memorial,mid,4.727,5,3,0,13.22,60.0,0.0
delhi_holy,Lok Kalyan Marg metro station,high,5.462,5,2,0,3.5,40.0,0.0
delhi_national,Purana Qila,high,0.957,4,3,2,1.39,75.0,50.0
delhi_national,Bengali Market,mid,1.173,4,0,1,1.43,0.0,25.0
delhi_national,Democratic Youth Federation of India,low,1.785,4,1,0,2.26,25.0,0.0
delhi_national,Shankar's International Dolls Museum,mid,2.344,4,3,0,2.08,75.0,0.0
delhi_national,Humayun's tomb,high,2.458,4,4,0,2.63,100.0,0.0
delhi_national,Lodhi Colony,mid,3.254,4,4,1,1.55,100.0,25.0
delhi_national,Tomb of Safdar Jang,high,3.285,4,3,0,3.78,75.0,0.0
delhi_vijay,Vigyan Bhawan,mid,0.546,4,3,3,0.74,75.0,75.0
delhi_vijay,Sansad Marg,high,1.275,4,4,1,1.06,100.0,25.0
delhi_vijay,Bangabandhu Sheikh Mujib Road,mid,2.305,4,0,0,67.54,0.0,0.0
delhi_vijay,Purana Qila,high,2.687,4,4,0,1.97,100.0,0.0
delhi_vijay,Observer Research Foundation,low,2.702,4,4,0,2.7,100.0,0.0
delhi_vijay,Sunder Nursery,high,3.354,4,4,0,3.17,100.0,0.0
delhi_vijay,"High Commission of Pakistan, New Delhi",mid,3.437,4,4,0,3.79,100.0,0.0
delhi_vijay,Naubat Khana,low,5.185,4,2,0,5.15,50.0,0.0
edinburgh_dugald,"Old College, University of Edinburgh",high,0.783,5,4,5,0.48,80.0,100.0
edinburgh_dugald,"The Hub, Edinburgh",mid,0.911,5,1,5,0.44,20.0,100.0
edinburgh_dugald,Arthur's Seat,high,1.814,5,0,5,0.44,0.0,100.0
edinburgh_dugald,Edinburgh Napier University,high,4.435,5,0,4,0.51,0.0,80.0
edinburgh_dugald,Liberton,mid,4.676,5,0,3,0.66,0.0,60.0
edinburgh_greyfriars,"Governor's House, Edinburgh",low,0.797,8,2,7,0.47,25.0,87.5
edinburgh_greyfriars,Melville Monument,mid,0.82,8,1,5,0.67,12.5,62.5
edinburgh_greyfriars,Royal Commonwealth Pool,high,1.419,8,3,3,0.87,37.5,37.5
edinburgh_greyfriars,Royal Botanic Garden Edinburgh,high,2.287,8,4,4,0.86,50.0,50.0
edinburgh_greyfriars,"Royal Observatory, Edinburgh",mid,2.645,8,4,3,1.0,50.0,37.5
edinburgh_greyfriars,North Leith Parish Church,mid,3.288,8,4,1,2.64,50.0,12.5
edinburgh_greyfriars,Edinburgh Zoo,high,4.923,8,3,3,1.21,37.5,37.5
edinburgh_museum,Gladstone's Land,mid,0.907,4,2,3,0.85,50.0,75.0
edinburgh_museum,Jenners,high,0.926,4,2,3,0.83,50.0,75.0
edinburgh_museum,"St Cuthbert's Church, Edinburgh",mid,1.622,4,0,2,0.79,0.0,50.0
edinburgh_museum,Royal Botanic Garden Edinburgh,high,2.357,4,0,3,1.09,0.0,75.0
edinburgh_museum,Royal Infirmary of Edinburgh,high,4.157,4,0,3,0.88,0.0,75.0
hanoi_botanic,Ho Chi Minh Museum,high,0.55,5,0,3,13.31,0.0,60.0
hanoi_botanic,Ba Đình Hall,mid,0.714,5,0,5,0.68,0.0,100.0
hanoi_botanic,Al-Noor Mosque (Hanoi),low,1.67,5,3,1,1.47,60.0,20.0
hanoi_botanic,Lotte Center Hanoi,high,2.179,5,4,2,1.29,80.0,40.0
hanoi_botanic,La Thanh station,mid,2.35,5,0,1,5.46,0.0,20.0
hanoi_botanic,Vietnam Banking Association,low,3.539,5,4,2,5.16,80.0,40.0
hanoi_botanic,Dong Tru Bridge,mid,5.901,5,0,0,14.57,0.0,0.0
hanoi_college,Supreme People's Court of Vietnam,mid,0.54,4,1,1,1.18,25.0,25.0
hanoi_college,Vietnam Atomic Energy Institute,low,0.556,4,3,2,0.57,75.0,50.0
hanoi_college,Lenin Park (Hanoi),high,1.118,4,1,0,1.15,25.0,0.0
hanoi_college,Al-Noor Mosque (Hanoi),low,1.834,4,1,0,2.02,25.0,0.0
hanoi_college,Presidential Palace Historical Site,high,1.998,4,1,0,1.75,25.0,0.0
hanoi_college,Đống Đa Mound,mid,2.253,4,3,0,1.9,75.0,0.0
hanoi_college,Bach Mai Airfield,low,3.048,4,3,0,3.47,75.0,0.0
hanoi_college,Hanoi–Amsterdam High School,mid,4.942,4,1,1,2.23,25.0,25.0
hanoi_college,Vietnam Museum of Ethnology,high,5.048,4,1,0,5.48,25.0,0.0
hanoi_well,One Pillar Pagoda,high,0.708,8,0,4,1.05,0.0,50.0
hanoi_well,Vietnam University of Fine Arts,mid,1.112,8,3,4,1.06,37.5,50.0
hanoi_well,Vietnam Atomic Energy Institute,low,1.4,8,2,3,2.12,25.0,37.5
hanoi_well,Tràng Tiền Street,high,2.045,8,0,2,1.14,0.0,25.0
hanoi_well,Bảy Mẫu Lake,mid,2.178,8,1,2,5.59,12.5,25.0
hanoi_well,Vietnam Banking Association,low,2.45,8,2,3,1.05,25.0,37.5
hanoi_well,Láng Station,high,3.344,8,2,2,2.51,25.0,25.0
hanoi_well,Bach Mai Airfield,low,3.71,8,1,1,1.73,12.5,12.5
hanoi_well,Hanoi–Amsterdam High School,mid,4.687,8,1,3,1.57,12.5,37.5
hongkong_fortress,"Queen's College, Hong Kong",mid,0.824,5,1,2,3.24,20.0,40.0
hongkong_fortress,Kellett Island,low,1.242,5,0,1,4.27,0.0,20.0
hongkong_fortress,Causeway Bay station,high,1.361,5,4,1,10.26,80.0,20.0
hongkong_fortress,China Online Centre,low,1.886,5,1,1,5.09,20.0,20.0
hongkong_fortress,The Masterpiece,mid,2.281,5,1,1,4.97,20.0,20.0
hongkong_fortress,Jordan station,high,2.919,5,4,1,5.3,80.0,20.0
hongkong_fortress,"Admiralty, Hong Kong",high,3.042,5,0,1,4.73,0.0,20.0
hongkong_fortress,Hong Kong Cricket Club,low,3.233,5,0,1,4.36,0.0,20.0
hongkong_fortress,Cathedral of the Immaculate Conception,mid,4.218,5,2,1,3.58,40.0,20.0
hongkong_sai,The Belcher's,mid,0.926,4,2,3,1.06,50.0,75.0
